Sample,SiO2,Al2O3,TiO2,Fe2O3,MgO,CaO,Na2O,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Tectonic setting
HLY0102-40',40.9,0.45,0.05,8.68,40.6,8.23,0.17,0.03,0.02,0.01,0.04,0.02,0.01,0.03,0.01,0.04,0.01,0.02,0.03,0.0,MOR
"HLY0102-40""",42.5,0.7,0.05,8.1,41.3,7.03,0.13,0.05,0.04,0.01,0.04,0.02,0.01,0.03,0.01,0.05,0.01,0.03,0.03,0.0,MOR
HLY0102-92-24,41.6,0.98,0.05,14.0,41.0,1.03,0.22,0.08,0.09,0.02,0.1,0.03,0.01,0.05,0.01,0.09,0.02,0.09,0.13,0.02,MOR
1170R01,44.0,1.11,0.02,8.84,44.3,0.15,0.07,0.02,0.01,0.0,0.01,0.0,0.01,0.02,0.01,0.05,0.02,0.06,0.08,0.02,MOR
1170R20,45.0,1.35,0.02,9.53,41.3,0.64,0.11,0.07,0.14,0.02,0.09,0.03,0.02,0.05,0.01,0.08,0.02,0.08,0.11,0.02,MOR
1170R25,43.6,1.06,0.01,9.9,42.0,2.23,0.11,0.03,0.04,0.01,0.05,0.01,0.01,0.03,0.01,0.07,0.02,0.08,0.1,0.02,MOR
1176R09,44.8,1.04,0.02,6.92,45.1,0.2,0.11,0.03,0.05,0.01,0.04,0.01,0.01,0.01,0.0,0.04,0.01,0.04,0.06,0.01,MOR
HLY0102-40-24',40.9,0.45,0.05,8.68,40.6,8.23,0.17,0.03,0.02,0.01,0.04,0.02,0.01,0.03,0.01,0.04,0.01,0.02,0.03,0.0,MOR
"HLY0102-40-24""",42.5,0.7,0.05,8.1,41.3,7.03,0.13,0.05,0.04,0.01,0.04,0.02,0.01,0.03,0.01,0.05,0.01,0.03,0.03,0.0,MOR
21V-S9-D5-2,39.71,1.67,0.02,8.56,36.11,0.8,0.14,0.15,0.23,0.02,0.09,0.03,0.01,0.08,0.02,0.13,0.03,0.09,0.11,0.02,MOR
21V-D1-1,39.87,0.63,0.01,8.81,36.39,0.44,0.15,0.03,0.06,0.01,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.0,MOR
21V-D1-2,40.18,1.6,0.02,10.18,33.46,2.17,0.13,0.06,0.04,0.01,0.03,0.01,0.0,0.05,0.01,0.12,0.03,0.09,0.13,0.02,MOR
21V-S10-D6-1,38.87,1.37,0.01,8.15,37.25,0.08,0.16,0.16,0.64,0.04,0.13,0.04,0.01,0.07,0.01,0.08,0.02,0.05,0.07,0.01,MOR
21V-S16-TVG4-1,40.72,1.12,0.01,8.91,35.17,0.89,0.28,0.34,0.3,0.05,0.21,0.04,0.01,0.09,0.01,0.11,0.03,0.09,0.12,0.02,MOR
DY0105-017-001,43.46,0.6,0.05,9.16,45.64,0.75,0.2,0.23,0.54,0.08,0.34,0.08,0.02,0.1,0.02,0.1,0.02,0.05,0.05,0.01,MOR
